NameGoods	Pins	TypeAssembly_id	Description
''	0	1	
VOM1271T	16	1	микросхема
VLMY1300-GS08	2	1	светодиод
VLMTG1300-GS08	2	1	светодиод
VLMS1300-GS08	2	1	светодиод
VLMO1300-GS08	2	1	светодиод
TL431BQDBZR	6	1	транзистор
TAJB226K016R (22 мкФ ±10% 16 В)	2	1	конденсатор
STW48NM60N	24	1	микросхема
STTH6003CW	24	1	микросхема
STTH16L06CFP	24	1	микросхема
SM15T68A	24	1	микросхема
SG3525AP	24	1	микросхема
SDR1006--681KL	2	1	индуктивность
RV0805JR-07300KL (0805; 0,125 Вт; 300  кОм; 400 В; 5%)	2	1	резистор
RC2512JR-071RL (2512; 1 Вт; 1 Ом; 250 В; 5%)	2	1	резистор
RC2512JR-070R33L (2512 0,33 Ом 250 В)	2	1	резистор
RC1206JR-07510KL (1206; 0,25 Вт; 510 кОм; 200 В; 5%)	2	1	резистор
RC1206JR-0715KL (1206 15 кОм ±5% 200 В)	2	1	резистор
RC1206JR-072KL (1206 2 кОм 5%)	2	1	резистор
RC1206JR-071ML (1206  1 МОм ±5% 200 В)	2	1	резистор
RC0805JR-0712KL (0805 12 кОм ±5% 150 В)	2	1	резистор
RC0805JR-0710RL (0805 10 Ом ±5% 150 В)	2	1	резистор
RC0805JR-0710KL (0805 10 кОм 5%)	2	1	резистор
RC0805JR-071KL (0805 1 кОм ±5% 150 В)	2	1	резистор
RC0603JR-07510RL (0603 510 Ом ±5% 50 В)	2	1	резистор
RC0603JR-07300RL (0603 300 Ом ±5% 50 В)	2	1	резистор
RC0603JR-07100RL (0603 100 Ом ±5%  50 В)	2	1	резистор
RC0603JR-0747KL (0603 47 кОм ±5% 50 В)	2	1	резистор
RC0603JR-0733KL (0603 33 кОм ±5% 50 В)	2	1	резистор
RC0603JR-0720KL (0603 20 кОм ±5% 50 В)	2	1	резистор
RC0603JR-0715KL (0603 15 кОм ±5% 50 В)	2	1	резистор
RC0603JR-0711KL (0603 11 кОм ±5% 50 В)	2	1	резистор
RC0603JR-0710KL (0603 10 кОм ±5% 50 В)	2	1	резистор
RC0603JR-075K1L (0603 5,1 кОм ±5% 50 В)	2	1	резистор
RC0603JR-073KL (0603 3 кОм ±5% 50 В)	2	1	резистор
RC0603JR-072KL (0603 2 кОм ±5% 50 В)	2	1	резистор
RC0603JR-071KL (0603 1 кОм ±5% 50 В)	2	1	резистор
PS2801-1-F3-A	2	1	диод
MMBT5551LT1G	36	1	микросхема
MMBT5401LT1G	36	1	микросхема
LNK306GN	36	1	микросхема
LM7321MF	36	1	микросхема
LM3480	36	1	микросхема
L6562D	36	1	микросхема
IRS2186SPBF	6	1	транзистор
VSOHFA30PA60C	6	1	транзистор
GRM188R72A104K (0603 X7R 0,1 мкФ ±10% 100 В)	2	1	конденсатор
GRM188R72A103K (0603 X7R 0,01 мкФ ±10% 100 В)	2	1	конденсатор
GRM188R72A102K (0603 X7R 1000 пФ ±10% 100 В)	2	1	конденсатор
GRM188R61H105KAAL (0603  1 мкФ ±10% 50 В)	2	1	конденсатор
GRM188R61E106MA73L (0603 X5R 10 мкФ ±20% 50 В)	2	1	конденсатор
GRM55DR72J224K (2220 X7R 0,22 мкФ ±10% 630 В)	2	1	конденсатор
GRM31CR72A225K (1206 X7R 2,2 мкФ ±10% 100 В)	2	1	конденсатор
GRM31A7U2J222JW31D (2200 пФ 600В 1206)	2	1	конденсатор
GRM31A5C2J101JW01D (1206  100 пФ ±5% 630 В)	2	1	конденсатор
GRM21BR72A474K (0805 X7R 0,47 мкФ ±10% 100 В)	2	1	конденсатор
GRM21A5C2E220J (0805  22 пФ ±5% 250 В)	2	1	конденсатор
FCPF190N60	3	1	диод
ES1J	3	1	диод
EEVEB2W3R3Q ( 3,3 мкФ 450В)	2	2	конденсатор
EEUEE2W330S (33 мкФ 450 В)	2	2	конденсатор
EEEFK1J101P (100u)	2	2	конденсатор
CT06-100	3	2	диод
BZV55C13V.115	3	1	диод
BZV55-C24.115	3	1	диод
BLM21AG102SN1 (0805 1 кОм ±25% 200 мА)	2	1	фильтр
BLM18AG102SN1 (0603 1 кОм 500 мА)	2	1	фильтр
BCP56-16	3	1	диод
BAV99LT1G	3	1	диод
B72210S0271K101	3	1	диод
B41815F8477M000 (470 мкФ 63 В)	2	1	индуктивность
B32652A6104J000 (630 В, 0,1 мкФ.)	2	1	индуктивность
B32522N6474J000 (0,47 мкФ 450В)	2	1	индуктивность
AD22105ARZ	16	1	микросхема
74437429203151	2	1	индуктивность
7448031501	2	1	индуктивность
7443641000	2	1	индуктивность
0463015.ER	2	1	диод
ER64/13/51-3C95	0	3	феррит
PQ35/35-3C95	0	3	феррит
PC47PQ35/35Z-12	0	3	феррит
PC47PQ35/35-160-22	0	3	феррит
B41851F7108M000	2	1	индуктивность
IR25750	6	1	транзистор
IR4427SPBF	6	1	транзистор
IRFP4227	6	1	транзистор
SRP1270-2R2M	2	1	индуктивность
IRFP90N20DPBF	6	1	транзистор
25AA040AT-I/OT	24	1	микросхема
31_MMBX-SMA-50-1	5	2	разъем
32_MMBX-50-0-1	5	2	разъем
92_MMBX-S50-0-12/111_N	5	2	разъем
04025C332K4T4A  (0402  3300 пФ ±10% 50 В)	2	1	конденсатор
AD8317ACPZ-R7	36	1	микросхема
B57861S0103F045 (10 кОм 1%)	2	1	резистор
BLM15PD121SN1 (0402 120 Ом ±25% 1300 мА)	2	1	фильтр
BLM18SG260TN1 (0603 26 Ом ±25% 6 А)	2	1	фильтр
CC0402KRX7R8BB473 (0402  0,047 мкФ ±10% 25 B)	2	1	конденсатор
GRM153R61A105M (0402 X5R 1 мкФ ±20% 10 В)	2	1	конденсатор
GRM155R71H102K (0402 X7R 1000 пФ ±10% 50 В)	2	1	конденсатор
GRM155R71H103K (0402 X7R 0,01 мкФ ±10% 50 В)	2	1	конденсатор
GRM155R71H104K (0402 X7R 0,1 мкФ ±10% 50 В)	2	1	конденсатор
GRM188R61C106MA73 (0603 10 мкФ ±20% 16 В)	2	1	конденсатор
GRM188R61E225K (0603 X5R 2,2 мкФ ±10% 25 В)	2	1	конденсатор
GRM1555C1H101J (0402 C0G 100 пФ ±5% 50 В)	2	1	конденсатор
HMC311SC70E	64	1	микросхема
HMC1119LP4ME	64	1	микросхема
IRLML0060TRPBF	3	1	транзистор
LQW15CNR27K10 (0402 270 нГн ±10% 420 мА)	2	1	индуктивность
LQW18ANR15G00 (0603 150 нГн ±2% 160 мА)	2	1	индуктивность
LQW18CNR56J00 (0603 560 нГн ±5% 450мА)	2	1	индуктивность
LT1962EMS8-3.3#PBF	48	1	микросхема
MECT-110-01-M-D-RA1(Samtec)	16	2	разъем
RC0402FR-0710KL (0402 10 кОм ±1% 50 В)	2	1	резистор
RC0402JR-070RL (0402 0 Ом ±5% 50 В)	2	1	резистор
RC0402JR-071KL (0402 1 кОм ±5% 50 В)	2	1	резистор
RC0402JR-075K1L (0402 5,1 кОм ±5% 50 В)	2	1	резистор
RC0402JR-0751RL (0402 51 Ом ±5% 50 В)	2	1	резистор
RC0402JR-0791KL (0402 91кОм ±5% 50 В)	2	1	резистор
RC0402JR-07150RL (0402 150 Ом ±5% 50 В)	2	1	резистор
RC0603JR-0720RL (0603 20 Ом ±5% 50 В)	2	1	резистор
SPF-5122Z	6	1	транзистор
TC77-5.0MCTTR	2	1	диод
TLMS1000-GS08	2	1	диод
TLMY1000-GS08	2	1	диод
ТВ-65-0,6-0,8	0	3	модуль пельтье
RC0402JR-07110RL (0402 110 Ом ±5% 50 В)	2	1	резистор
TAJD337M010RNJ  (330 мкФ+_20%  10В)	2	1	конденсатор
ABM10-16MHZ-D25-T	6	1	кварц
GRM188R61E106K (0603 X5R 10 мкФ ±10% 25 В)	2	1	конденсатор
GRM155B31E105K (0402 1 мкФ ±10% 25 В)	2	1	конденсатор
GRM155R71A104K (0402 X7R 0,1 мкФ ±10% 10 В)	2	1	конденсатор
GRM188R61H474M  (0,47 мкФ 50В 0603)	2	1	конденсатор
GRM21BR60J476M (0805 X5R 47 мкФ ±20% 6,3 В)	2	1	конденсатор
GRM1555C1H100J (0402 C0G 10 пФ ±5% 50 В)	2	1	конденсатор
GRM1555C1H102G (0402 C0G 1000 пФ ±2% 50 В)	2	1	конденсатор
GRM188R71H102J (0603 X7R 1000 пФ ±5% 50 В)	2	1	конденсатор
GRM152R61A104K (0402 X5R 0,1 мкФ ±10% 10 В)	2	1	конденсатор
GRM188R71H103J (0603 X7R 0,01 мкФ ±5% 50 В)	2	1	конденсатор
GRM155R71E104K (0402 X7R 0,1 мкФ ±10% 25 В)	2	1	конденсатор
STM32F446RET6	64	1	микросхема
L6360TR	24	1	микросхема
LT3995IMSE	48	1	микросхема
ADM2582EBRWZ	48	1	микросхема
AD820ARMZ	48	1	микросхема
IHLP2525CZER100M01	2	1	индуктивность
RC0402FR-070RL (0402 0 Ом ±1% 50 В)	2	1	резистор
RC0402JR-071K5L (0402 1,5 кОм ±5% 50 В)	2	1	резистор
RC0402JR-07100KL (0402 100 кОм ±5% 50 В)	2	1	резистор
RC0402JR-07330RL (0402 330 Ом ±5% 50 В)	2	1	резистор
RC0402JR-07270RL (0402 270 Ом ±5% 50 В)	2	1	резистор
RC0603FR-07100KL (0603 100 кОм ±1% 50 В)	2	1	резистор
RC0603FR-07470KL (0603 470 кОм ±1% 50 В)	2	1	резистор
RC0603FR-071ML (0603 1 МОм ±1% 150 В)	2	1	резистор
RC0402JR-07470RL (0402 470 Ом ±5% 50 В)	2	1	резистор
CRCW1206165RFKTA (1206; 165 Ом)	2	1	резистор
PGB1010402MR	6	1	диод
VLMW1300-GS08	2	1	светодиод
SK310A	6	1	диод
SBR3U60P1	6	1	диод
PBS4 шаг 2 мм	8	2	разъем
ZX62-B-5PA(11)	6	1	диод
DBPLE103A056-130EGF	12	2	разъем
DBPLE102A059-130EGF	12	2	разъем
BLM15AG121SN1 (0402 120 Ом ±25% 550 мА)	2	1	фильтр
BLM18PG330SH1 (0603 33 Ом ±25% 3 А)	2	1	фильтр
GRM219R61E106K (0805 X5R 10 мкФ ±10% 25 В)	2	1	конденсатор
NFM18CC223R1C3 (0603 0,022 мкФ ±20% 16 В 1 А)	3	1	проходной конденсатор
GRM15XR71H102K (0402 X7R 1000 пФ ±10% 50 В)	2	1	конденсатор
GRM32ER71A476M (1210 X7R 47 мкФ ±20% 10 В)	2	1	конденсатор
GRM31CR60J107M (1206 X5R 100 мкФ ±20% 6,3 В)	2	1	конденсатор
SSM1-402E-10T (4000 пФ ±25% 100 В 10 А)	2	1	конденсатор
ADuM6401CRWZ	24	1	микросхема
LTC2854HDD#PBF	48	1	микросхема
10M16SAU169I7G	800	1	микросхема
LTM4622EV	64	1	микросхема
GXO-U108L/I 60 МГц	6	1	кварц
CDDFN6-0504P	6	1	диод
SF-1206F700	6	1	диод
RC0402FR-07390RL (0402 390 Ом ±1% 50 В)	2	1	резистор
RC0402FR-0713K3L (0402 13,3 кОм ±1% 50 В)	2	1	резистор
RC0402FR-0719K1L (0402 19,1 кОм ±1% 50 В)	2	1	резистор
RC0402JR-07100RL (0402 100 Ом ±5% 50 В)	2	1	резистор
APHHS1005LQBC/D-V	2	1	светодиод
P4SMAJ5.0A	2	1	диод
DBPC102A054-130	16	2	разъем
SEAM-40-03.0-L-10-2-A-K-TR	400	1	разъем
BLM15PD300SN1 (0402 30 Ом ±25% 2200 мА)	3	1	фильтр
PLD-10 (шаг 2,54)	10	2	разъем
GRM155R61E105K (0402 X5R 1 мкФ ±10% 25 В)	2	1	конденсатор
GRM219R61C226K (0805 X5R 22 мкФ ±10% 16 В)	2	1	конденсатор
GRM188R61C106M (0603 X7R 10 мкФ ±20% 16 В)	2	1	конденсатор
GRM1555C2A5R0CA01 (0402 C0G 5 пФ ±0,25 пФ 100 В)	2	1	конденсатор
GRM155R71E103K (0402 X7R 0,01 мкФ ±10% 25 В)	2	1	конденсатор
GRM155R61A474K (0402 X5R 0,47 мкФ ±10% 10 В)	2	1	конденсатор
GRM155R71C473K (0402 X7R 0,047 мкФ ±10% 16 В)	2	1	конденсатор
GRM188R61C475K (0603 X5R 4,7 мкФ ±10% 16 В)	2	1	конденсатор
GRM155R61E225M (0402 X5R 2,2 мкФ ±20% 25 В)	2	1	конденсатор
10TPE330M (330 мкФ ±20% 10 В)	2	1	конденсатор
ADG849YKSZ	24	1	микросхема
ADN2850BCPZ25	24	1	микросхема
ADN2850BCPZ250	24	1	микросхема
AD8211YRJZ-R2	24	1	микросхема
ADN2830ACPZ32	24	1	микросхема
MAX1978ETM+	24	1	микросхема
TPS62085RLT	24	1	микросхема
MCP9804-E/MS	24	1	микросхема
GXO3232L/E 16 MHz	6	1	кварц
LQH32PN3R3NNC  (1210 3,3 мкГн 1,9 A)	2	1	индуктивность
XFL4015-471ME (0,47 мкГн ±20% 6,6 А)	2	1	индуктивность
RC0402JR-073K9L (0402 3,9 кОм ±5% 50 В)	2	1	резистор
RC0402JR-072KL (0402 2 кОм ±5% 50 В)	2	1	резистор
RC0402JR-0718RL (0402 18 Ом ±5% 50 В)	2	1	резистор
RC0402JR-07510RL (0402 510 Ом ±5% 50 В)	2	1	резистор
RC1206JR-070RL (1206 0 Ом ±5% 200 В)	2	1	резистор
WSL1206R5000FEA (1206 0,5 Ом ±1 %)	2	1	резистор
RC0402JR-073KL (0402 3 кОм ±5% 50 В)	2	1	резистор
